Title,,,,cities,categories,Question
製菓材料店を探しています,,,,アトランタ,生活,サンノゼ近辺で富澤商店のような製菓材料店を探しています。 通販でも良いのですが、ピューレやお菓子に使うお酒、オレンジピールやラム酒漬けレーズン、フィナンシェの1個1個個別の型やミニ食パン型などを探しています。 どなたか知っている方はいらっしゃいますか？
オープンマイクのお店を教えて下さい。（ドラマーです）,,,,アトランタ,生活,こんにちは、日本でアマチュアバンドでドラム（時々ボーカル、ダンサー等）をしております40代女です。ロサンゼルスで飛び入りで演奏できるオープンマイクをしているお店を教えていただきたいです。できればジャズ以外でロック、ハードロック、ポップス系統がありがたいです。オープンマイクは未経験ですので、予約をしないといけないのか、飛び入りでも参加できるのか、楽器は貸してもらえるのか、など、教えていただけると嬉しいです。ご存知の方、どうぞよろしくお願いいたします。
8セーラム観光　ハロウィーン,,,,アトランタ,生活,"11月30日（土）にマサチューセッツ州のセーレムに観光に行こうと思っています。
当方、NJ在住の30歳男で、一人で車で向かおうと思っています。
セーレムの町並みや、ハロウィーンパレードを見たいなと思っています。

セーレムおすすめの観光場所や、おすすめのレストラン、一緒に観光してくださる方がおられましたら、コメントいただけませんでしょうか？
メールアドレスは下記のとおりです。よろしくおねがいします。
red_clover1986@yahoo.co.jp"
本みりん,,,,アトランタ,生活,本みりん（みりん風調味料ではない）を売ってる場所をご存じでしょうか？
シカゴの住宅について教えてください。（日本から）,,,,シカゴ,生活,"日本から近々シカゴへ駐在になりました。住宅をどのあたりで探すのが良いか検討中です。現地にお住いの方に情報をいただきたいです。よろしくお願いします。
・アメリカは３回目で、前回は住んでいた際日本食スーパーは不要な食生活でした。
・夫婦二人です。
・勤め先はオヘア空港の西側あたりです。
・車は夫婦共運転します。

一軒家、タウンハウス、マンション、それも決めかねています。
また、庭仕事（水やり、落ち葉、雪かき）をご自身でなさってる方、また業者に頼まれている方、家賃に含まれている方、それぞれのご意見もうかがえると嬉しいです。業者に頼まれている方は相場も教えてくださいますでしょうか？..."
サウスダコタ州に住んでいる日本人の方いますか？,,,,サウスダコタ州,お友達,サウスダコタ州に住んでいる日本人の方いますか？
ホッカイロ,,,,フェニックス,生活,Arizona Tempe周辺でホッカイロを購入できる所をご存知の方はいますか？ 今週末、Flagstaff、Grand Canyonなどに行く予定です。
ラスベガスでの離婚について日本語で相談できるところをご...,,,,ラスベガス,人生問題,ラスベガスでの離婚について日本語で相談できるところをご存知の方いらっしゃいますか？
ジョージア州移住におすすめの都市はありますか？,,,,アトランタ,生活,今年の初夏までに、ニューヨークからジョージア州に引っ越しを予定しています。 主人の両親と弟一家が今年中にメリーランド州からジョージア州に引っ越しを予定しており、私達も今住んでいるニューヨークの賃貸マンションのリースが切れる前にジョージア州に家を購入して、家族の近くに住みたいと考えています。 私はオーガスタに6回ほど、仕事で行った事があるのですが、それ以外のジョージア州の都市は全くの未知です。 オーガスタも、行くときはマスターズゴルフトーナメントの時期なので、その時期以外は全く分かりません。...
アメリカに売っている牛乳でヨーグルト作れますか？,,,,ロサンゼルス,生活,日本からヨーグルトメーカーを持って帰ってきました。牛乳パックにヨーグルトを入れて、パックのまま牛乳からヨーグルトを作るタイプのものです。 脂肪分3.25%の牛乳、ダノンのプレーンヨーグルトで試してみましたが、ほぼ固まらずでした。 アメリカの牛乳は薄いから作れないのですかねぇ…どうも良く分からず…せっかく買ってきたので上手く作りたいのですが、また牛乳を無駄にしたくないのでどなたかご存知の方、教えていただけませんか。
グリーンカード,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル/米国,ビザ,グリーンカード取得可能です。必ず必要な方ご連絡ください。
観光ビザ以外で長期滞在方法は留学しかありませんか？,,,,ロサンゼルス/サンフランシスコ,生活,観光ビザ以外で長期滞在方法は留学しかありませんか？
情報募集,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,準備,アメリカの富裕層の方との繋がりが欲しいです。 アメリカ在住で現地の方、または在米日本人、グリーンカード取得者の方が対象です。何故富裕層との繋がりが欲しいのか？は直接メールで連絡を取りたいと思います。情報提供お願いします。
NY ひとり旅,,,,ニューヨーク,観光・レジャー,こんにちは！21歳男子大学です。一年間アメリカに留学していて、今度の冬休み(12/26-1/5)にNYにひとり旅してみようと思っています。そこでnyに行ったことがある方、行く予定がある方、なにがオススメか気をつけるべきことなどなど教えてくれたらありがたいです。ささいなことでもありがたいです！お返事まってます！
アメリカの学生が一番困っていることはなんですか？,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,生活,アメリカの学生が一番困っていることはなんですか？
求人情報収集の方法。どのようにお仕事を探されていますか？,,,,サンフランシスコ,仕事,求人情報収集の方法。どのようにお仕事を探されていますか？
日本を脱出したいです。 留学できる大学はありますか,,,,ボストン/大津,留学,日本を脱出したいです。 留学できる大学はありますか
就職状況が知りたいです,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,仕事,"【アメリカ本国にお住まいでお仕事で困った方へ】

皆さんは、海外に移住されたときはお仕事や収入源を確保されてから渡航したのでしょうか？
それとも現地で見つけたのでしょうか？

苦労された点や失敗談などございましたら教えて頂けると幸いです。"
引っ越してきたばかりの住居探し,,,,ダラス,住居,"日本での仕事を退職し、夫婦でテキサスに引っ越した場合、住居はどうなりますか？
職が無いので、過去の光熱費の領収書などを不動産屋に見せることも出来ません。

仕事を見つける為には決まった住居が必要です。　まさか、履歴書に滞在ホテルの連絡先を記載するわけにはいかないですよね。

日本から引っ越してきた方々は、どうやって住むところを見つけているのですか？

家族も親戚もいない為、連帯保証人も頼む人がいません。"
ダラス周辺のおすすめの歯医者を教えてください,,,,ダラス,医療,親知らずが生えてきて、横向きになって埋まってしまっているので、手術しないと抜けない状況です。歯医者の保険には入っていないのですが、日本へ帰る航空券を買うよりも安く、そして評判のいい歯医者を探しています。経験談などありましたら、よろしくお願いします。保健に関しては、加入した方が安いのであれば、入ろうと考えています。
留学生用ローン申し込みの手伝い,,,,フィラデルフィア,留学,学生ローンの申し込みを行いたいのですが、留学生専門のローン会社に申し込みを行うお手伝いをしてくれるか他を募集します。 当方は日本在住、子供がすでにフィラデルフィアで就学中（大学生）で、申し込みや手続きを行うためのノウハウがありません。 会社への問い合わせ、申し込みのお手伝いをお願いします。
日本人訪問介護士,,,,シカゴ,医療,"日本人の方で、訪問介護、若しくはそれに近いサポートのお仕事をしている人を知っていますか？

求人もこちらでかけましたが、情報が欲しいため、こちらにも投稿します。"
ギフテッドプログラムについて：他州からの編入,,,,ポートランド,育児・子育て,現在、他州にてギフテッドプログラムを受けている４th gradeの子供がいますが、この度、ポートランド（ビーバートン、ヒルズボロあたりも視野に）に引っ越すことになりまして、新しい学校でも、このようなプログラムを受けれるのか、情報を探しています。もしご存じの方がいらっしゃいましたら、ポートランドにはどのようなプログラムがあるのか、またその手続きなど、教えていただければ幸いです。どうぞ宜しくお願いいたします。
日本語の通じるスタッフのいる眼鏡店を探しています,,,,ノバイ,生活,日本から仕事でノバイに来て、半年ほどが経つところです。日本から持参し使っていた眼鏡ですが、ベッドに外して置いたのを忘れ、うっかり座ってしまい、弦が曲がってしまいました。自分で直そうと試みましたがうまくいきません。新しいものを作るまでではないので、眼鏡店に相談し修理してもらいたいと考えています。ノバイまたは近郊で、日本語の通じるスタッフのいる眼鏡店をご存知の方がいらっしゃいましたら、是非情報をいただければ有り難く存じます。
海外での移植について情報が欲しいです,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル/メリーランド,医療,"はじめまして。
さきほど検索でこちらを見つけました。

わたしは脚がわるいですが、骨移植に関する情報を求めています。

しかしながら、国内ではまず法律で行えないですので、
アメリカはじめ、海外の病院で相談や具体的な手術に関する話がしたいです。

同じような掲示板で、医療（移植）に詳しいサイトや
有力な病院ありましたら、ぜひ教えてください！

すぐ命を落とすことではないですが、心から健康に生きたいです。

よろしくお願いします！！＾＾"
美容師雇用について,,,,ロサンゼルス,ビザ,日本で美容師歴10年経ちました。ロサンゼルスのコスメトロジーライセンスの免除、取得。合っているビザのタイプ、もしオファーしてもらえるサロンがあるならばサロン側のリスク、してもらわないといけない事は？など詳しい方いらっしゃいましたら教えていただけると嬉しいです。
「試着」について,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,留学,"私はシアトルでデジタルマーケティングの可能性を探る学生チームに所属しております。
今回、「試着」について質問があります。
これは留学中の最大のプロジェクトなので、あなたの協力が必要です。
1分で終わる簡単なフォームになっているので、ご回答いただけると幸いです。


https://forms.office.com/Pages/ResponsePage.aspx?id=7jUlPFCxB0KCBL0Wom9Tx0g0iqQxxEROgAY1RKxFFJ1UNFJIOU1UQlZMRDFES0I3VU9HWEtZUUZWQyQlQCN0PWcu"
人探し,,,,ロサンゼルス/ホノルル,生活,岐阜県出身本田輝美さん60才、ハワイにてホスピス系の施設で働いていると思います。
バイク 免許 教えてください！,,,,ロサンゼルス,生活,初めまして！ 今ロサンゼルスに留学をしている19歳です。 日本ではバイクの免許を持ってないのですが、こっちで取ろうと思っています！ そこでこちらに住んでいる方で、バイクに乗れる人に乗り方を教えて貰いたいです！ もちろんタダとはいいません！ こちらの相場がわからないのですが、相談して決めたいです！ 丁寧に教えてくださるかた、連絡を待っています！！
日本からの引っ越しはどのようにするのが効率的でしょうか。,,,,ボストン,住居,日本からの引っ越しはどのようにするのが効率的でしょうか。
宿泊地,,,,ロサンゼルス,生活,"明日の泊まるところを探しています。

場所はダウンタウン辺りが有難いです。"
おすすめの日本食レストラン,,,,ダラス,グルメ,こんにちは。 今週末にGrapevineにあるレゴランドに遊びに行きます。 周辺で美味しい日本食レストランを教えてください！ よろしくお願いいたします。
アトランタインターナショナルスクールについて,,,,アトランタ,生活,"今度、他州からアトランタに家族で赴任することになりそうです。
上の子は高校生で私立のアトランタ インターナショナルスクールへの編入を考えていますが、
⚫︎日本人の生徒さんはたくさんいますでしょうか
⚫︎ スクールバスはないですよね
⚫︎ 何時スタートで何時終わりですか

あと、住まいはCumberlanad周辺(Buckheadも含め)検討中ですが、その辺りは治安は大丈夫でしょうか？
その近辺のミドルスクール(下の子)でオススメのところはありますか？

細かいことを聞いて申し訳ないですが、少しでも情報をいただけると助かります。"
Brooklineの幼稚園と３歳児との過ごし方について,,,,ボストン,生活,１月に３歳になった次女についての質問です。 ８月からボストンに１年間いくことになりました。住居はBrooklineで探していますが、公立の幼稚園はあるのでしょうか？デイケアやプリスクールは高額すぎて入れられません。車はありません。 質問（１）公立の幼稚園がある場合、１月に４歳になりますが途中からプレＫに入れることはできますか？ 質問（２）日本では４月から幼稚園に入園しますが、もしどこにも入れられないとした場合、日中は母親（私）と過ごすことになりますか？ 同じような方でどのように過ごされているかも教えていただければ幸いです。
電動自転車持って行くべきか？,,,,コロンバス,生活,今年の9月より主人の仕事でコロンバス近郊に住むことになりました。3歳と1歳の子供がいます。主人が先行き私たちは3ヶ月後に行くのですが、電動自転車をどうしようか悩んでいます。今は必須な移動手段なのですが、アメリカにおいて必要なものでしょうか？車は夫婦それぞれ持つ予定ですが、近場に自転車で行ったほうが便利なこともありますか？去年買ったばかりで決して安い買い物ではなかったのでどうしようか悩んでいます。持って行くか売るか…知ってる方教えていただければ嬉しいです。
コネチカット,,,,ニューヨーク/コネチカット,生活,コネチカット州のニューケイナンってどんな街ですか？ 住んでる方いたら、教えて欲しいです。 9月からのホームステイ先を探しています。 寒いと聞きましたが、どのくらい寒いですか！！！？
LINEは日常生活で、どの程度使っていますか,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,生活,LINEは日常生活で、どの程度使っていますか
乳がんの治療について,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,医療,アメリカでの乳がん治療について、よければ教えてください。 アメリカでは、抗ガン剤の使用が少なくなっていると聞きました。 私は今、日本で乳がんの治療を受けていますが、ステージ1のトリプルネガティブで、パクリタキセル、FECの2種類の抗ガン剤をする予定です。これが日本の標準治療です。 ステージ1でリンパ転移はないですが、予防のために抗ガン剤をするそうです。 アメリカでも、標準治療は同じですか？ アメリカで、乳がんトリプルネガティブのステージ1の場合、どのような治療になるのか、よければ教えてください。...
ロングアイランドシティでの生活/小学校,,,,ニューヨーク,育児・子育て,"こんにちは。

このたびニューヨーク赴任が決まり、家族でロングアイランドシティに住むことを考えています。
具体的にはElementaryとMiddle Schooleそれぞれの年齢の子供がおり、PS78Qへの入学を考えています。

ただあまりロングアイランドシティでの駐在員の生活/学校についてWebや周囲に情報がほとんどなく、
ロングアイランドシティにお住まいの方/お知り合いの方がいらっしゃいましたら、様子を教えていただけますと大変ありがたいです。

とくにPS78Qでの小学校の様子、日本人へのESLサポートの様子について知りたいと考えています。"
Los Angelesは住みやすいのでしょうか？,,,,ニューヨーク/日本,生活,アメリカに引越しを考えているのですが、 アメリカの事何も分からないので 治安がいい所とか、住みやすい所とか 色々教えていただけたら幸いですm(__)m
Annuity 加入していますか？,,,,ニューヨーク/全米,個人年金保険,先日annuity加入のため、まとまった金額を小切手かonline bill paymentで支払うために質問したくて銀行の窓口に並びました。 銀行員からはいろいろ調べられて詐欺だと言われましたが、保険会社も実在するし代理店は日本人の方です。 ただあまりにも注意を受けたので心配な思いも出ています。皆様 アニュイティ加入されていますか？ 普通は申し込み用紙に銀行の情報を書き保険会社と銀行間で支払いのやりとりをするものだと言われましたが私のように小切手やオンラインベルペイメントで支払う方法は不自然なのでしょうか？
ダラスのプリキンダー、キンダーについて教えて下さい,,,,ダラス,生活,夫の転勤のため約2ヶ月後にダラスに移住が決まりました。日本人が多く通っているプリキンダー、キンダースクールをご存知でしたら教えていただきたいです。現在、アメリカ国内在住で、子どもは日本人の先生とアメリカ人の先生の比率が半々の幼稚園に通っているのですが英語のみの環境には慣れておらず、精神的な負担を軽くするためにもなるべく日本人のお友達が多く通っている学校に入学出来たらと思っています。転居時はプリキンダーの年齢です、9月からキンダーになるのでどちらの情報もいただけますとありがたいです。...
アメリカ国内で建設業をしている方，資格を持っている方！,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,仕事,良かった，アメリカの建設業に関していろいろと教えてください。 独立を考えている方もぜひご連絡ください。 Please tell me a lot about the US construction industry. Please contact us if you are thinking of independence.
"ハリウッドで美容師やるには


ビザとライセンスが必要...",,,,ロサンゼルス,仕事,"ハリウッドで美容師やるには


ビザとライセンスが必要だが


ビザはどれがオススメ？


学校はどこがオススメ？




また
アメリカと日本を自由に行き来出来るビザがほしいが



やっぱり

グリーンカードしかない？


そして

グリーンカードは抽選か結婚しかない？




回答お願いします"
ダラスについて,,,,ロサンゼルス/サンフランシスコ/ダラス,生活,ダラス郊外について教えてください！ 今オペアでアメリカに行こうとしています。 私は26歳の女です フラワーマウンドのファミリーとコンタクトしていて、かなりいい感じなんですが、住んでる方からすると、ダラス郊外ってどんな感じですか？ 気候や、遊ぶところはありますか？ 田舎暮らしって感じなのかな？とか思ってます。 日本でいうと何県でしょうか？(笑) ダラスに住んでる方、ロスなど都市に住んでる方、意見を聞かせて貰えると嬉しいです⸜(*ˊᗜˋ*)⸝ よろしくお願いします！！！！
食のイベント、ボランティア活動、企画,,,,ホノルル/日本,グルメ,"ハワイで食に関するイベント、ボランティア活動を探しています。
食育のライセンスがあるので、それを活かせる活動、イベント、企画などに参加しながら経験を経て学んでいきたいのですが、どなたかこういった情報をお持ちの方がいらっしゃいましたら、是非情報交換がしたいです。

どうぞ宜しくお願い致します。"
将来、美容室をオープンしたいです。現地の情報を教えていただきたいです。,,,,アーバイン/ポートランド/シアトル,仕事,日本で美容室を経営していますが、数年後に海外出店を考えています。 頻繁に現地に行く事も出来ないので、現地情報を教えて頂ける方を探しております。
映画芸能関係,,,,ロサンゼルス,仕事,"アメリカで映画、芸能関係の仕事仲介をしようと思っています 役者と映画、テレビなどの芸能関係との橋渡し役です つきまして、アメリカ側で営業をやってくれる人を募集中です 映画会社と役者の間に入ってくれる人です 
日本人を早くハリウッドの上位にあげたいです
また、どんな人でもいいです 友達になってくれる 映画関係者 在住の方など、お話ししたいです"
初めての投稿です～ 初めまして！ シアトルにいている皆...,,,,シアトル,留学,初めての投稿です～ 初めまして！ シアトルにいている皆さんは、いろいろな目的で来ていることと思います。僕は、留学のために来ています！ シアトルにはたくさんの大企業があります。コストコ、スターバックス、マイクロソフトなどなど シアトルについて、いろいろ話しませんか？
ニューメキシコでの移動手段,,,,ニューメキシコ,観光・レジャー,ニューメキシコ内での移動手段を調べてますが、全然情報が無くとても困っています。ホテルの予約などを考えて至急情報ほしいです！ サンタフェに滞在して日帰りでロズウェルに行きたいのですがレンタカー以外の方法は無いでしょうか？私は免許を持ってないので、バスで行きたいと思ってますがバスはありますか？タクシーやオプショナルツアーは避けたいです。極力費用を抑えたいので…
キルト,,,,ヒューストン,準備,ヒューストン在住の日本人の方、キルトについて、調査したいと思います。 誰か、有料でかまいません、お手伝いしていただけませんか？ トヨタカンパニー　豊田 yo-ropian@song.ocn.ne.jp
現地校か日本人学校か迷ってます,,,,シカゴ,育児・子育て,主人の海外赴任に伴い、今年の夏頃に私と子供二人も渡米予定です。夏には上の子は5才、下の子は2才になっており、上の子は現地では秋からキンダーの学年になるようです。一先ずは日本人学校付属の幼稚園に通わせて様子をみようと思っているのですが、学校をどうするかで住む場所も変わるので、今からどうしたら良いのかと悩んでいます。...
英文法、関係詞を日本語で教えて下さる方を探してます。 ...,,,,サンフランシスコ,教えて下さい,英文法、関係詞を日本語で教えて下さる方を探してます。 詳細はメールで。 よろしくお願い致します。
ハワイで格安で一晩乗り切る方法,,,,ホノルル,生活,ホノルル空港周辺で、格安で野宿など一晩過ごせる場所等はありますでしょうか。 当方、１５日朝にホノルル空港到着なのですが、親族とは１６日合流予定で。。。それまでの時間をどうしようか悩んでいます。ハワイは初めてです。よろしくお願いします。
トーランス/サウスベイの小中学校について,,,,ロサンゼルス,生活,初めまして。8月から、ロサンジェルスに引っ越しをすることとなりました明子です。現在、住むエリアを検討中なのですが、小学生／ミドルスクールの子供達がいるため、良いと定評のある学校区域を選ぼうと考えております。トーランスは日本人が多いと聞いたのですが、どちらの学校が現在在住している方々に評価の良い学校なのでしょうか。また、サウスベイの地域でもご存知な方がいらっしゃれば、助かります。 宜しくお願い致します。
CAから他州(NY)への車の個人売却の際の手続き,,,,ロサンゼルス/サンフランシスコ/ニューヨーク,生活,カリフォルニア在住の者です。来月帰国予定なので、車の売却を考えており、州外（NY）の方から購入を希望する旨の連絡が来ました。車は業者に運んでもらうとのことでした。NY州のDMVでは、州外車の登録にはbillとtitle certificateが必要と書いてあります。カリフォルニアDMVのHPでは州外に車を売るときの手続きは見つけられず、困っております。書類提出が必要？プレートは返却？それはいつのタイミング？Smog checkは必要？など、いろいろと気がかりです。。もしご存知のかたがいらっしゃいましたら、教えていただけると大変ありがたいです。よろしくお願いいたします。
ボストンを効率良く観光するには？,,,,ボストン,観光・レジャー,４月５日から６日にかけて、ボストンに行きます。観光に使える時間は、５日の午後から６日の正午までです。滞在時間が短いので、効率的に名所を廻るルートを教えていただけると嬉しいです。見たい場所が点在していると、移動で時間のロスが出てしまうので、とにかく、見どころを地理的に効率よく廻ることが希望です。アドバイスをお願いいたします。
日本への送金,,,,ニューヨーク,送金,"日本の知人に送金するのにはどういう方法が一番いいでしょうか？自分が口座を持っているアメリカの銀行から相手の日本の銀行の口座へWire送金が一番簡単、と聞いていますが、こちらの銀行に＄→Yen換算してもらって円送金するのがいいか、＄送金をして日本の銀行で円換算して相手の口座に振り込んでもらうのがいいか、、、

また、人によると銀行より手数料が安いWorldFirstなどの業者があるそうです。こういうところは大丈夫でしょうか？

どなたか経験のある方、教えてください。"
NASA、子供博物館、IAHへのアクセスのよいホテルを教えてください。,,,,ヒューストン,観光・レジャー,"はじめまして。

2/2-5 ヒューストン滞在予定の母子です。
よろしければアドバイスをお願いします。

2/2 14:00ヒューストン着
2/3 子供博物館周辺観光
2/4 バスでNASA 長男はレベル9ツアー参加、母と次男は一般観光　
2/5 再度バスでNASAへ　16:00までにIAH着

という行程を予定しております。

この場合、NASA行きの249のバス停に近く、子供博物館、空港にも行きやすい、オススメのホテルはどちらになりますでしょうか？
クラブクオーターズホテルインヒューストンが便利との書き込みも見ましたが、如何でしょうか？..."
日本人の数ダラス葉何人いるんでしょうか？,,,,ダラス,生活,日本人の数ダラス葉何人いるんでしょうか？
ＫＤＤＩモバイルのSIMカード利用iPhoneで、LINEがwifiでしか繋がらないトラブル,,,,ニューヨーク,生活,"先週末から、ＮＹ、ＮＪエリアにて、タイトル表記のトラブルが発生、現在も継続中です。4G電波では、繋がりません。
周りにも同様症状を訴える人多数で、ＮＹのショップにも苦情がたくさん寄せられています。

他のアプリは問題なく、おそらくLINEの問題だと思われます。現在、メールにてカスタマーケアに問い合わせ中です。再起動、アプリ一旦消去、機内モードへの切り替え繰り返し、SIMカードの一旦取り外し、諸々試すも解消されません。

このままでは支障大です。一刻も早く正常に使いたいので、他に情報をお持ちの方、是非ともこちらの掲示板で投稿→シェア頂けましたら幸いです"
自炊率は何％ですか？,,,,ニューヨーク,その他,自炊率は何％ですか？
オススメの会議室について,,,,サンフランシスコ,仕事,サンフランシスコ近代美術館やユニオンスクエアエリアで10人程度で使用できる場所を探しています。目的は技術系勉強会なのですが、会議室やオススメの飲食店がありましたら情報くださると嬉しいです！お酒を飲みながら気軽にできる環境がいいかもしれません。
携帯などの通信について。,,,,ボストン,生活,今度、長期出張で行きます。 電源は日本と同じ100ボルトですか？ また、携帯メール(LINE、ショートメールなど) できますか？初海外なんですが、情報が少なく 困っています。宜しくお願いします！
学校入学,,,,ロサンゼルス,留学,"ロサンゼルスの公立学校に行く子供たちはロサンゼルスの学校入学に日本から何か書類は必要ですか？

現在日本にいますが卒業してから行こうかと思ってます。"
自動車免許証更新,,,,ホノルル,交通・飛行機,ハワイ州の運転免許証更新は、現在は永住権もしくはビザが必要ですか？ ご存知の方、教えてください。宜しくお願いします。
電動キックボードについて,,,,ニューヨーク,生活,購入を検討しているのですが、電動のキックボードやイスが付いたものはNYで走行しても違法ではありませんか？ また、それに乗るのは免許証や届出等は必要でしょうか？ 走行しても良いのは道路か歩道かどちらでしょうか？ ご存知の方、教えていただけましたらよろしくお願い致します。
製菓材料店を探しています,,,,サンノゼ,生活,サンノゼ近辺で富澤商店のような製菓材料店を探しています。 通販でも良いのですが、ピューレやお菓子に使うお酒、オレンジピールやラム酒漬けレーズン、フィナンシェの1個1個個別の型やミニ食パン型などを探しています。 どなたか知っている方はいらっしゃいますか？
カリフォルニアの季節ごとの天気、交通の便の様子を教えてください,,,,ロサンゼルス,生活,"旦那が来年一月からWhittier留学のため、家族3人(現在子供6ヶ月)でカリフォルニアに引っ越します。カリフォルニアでの季節ごとの天気、温度などはどのような様子でしょうか？
また、交通の便などはありますでしょうか？

はじめて行く土地なので、持っていくものなどを決めるためにこれらの情報があると大変助かります。
よろしくお願いいたします。"
HOVレーンについて,,,,ボストン,交通・飛行機,ボストンに旅行へ行こうと考えております。調べていると高速にHOVレーンがあるようですがここを走るのにはETCみたいなものは必要でしょうか？ただ、2人以上乗って入れば走っても大丈夫でしょうか？
初めまして、SFベイ付近に住んでいるトムで初投稿です。...,,,,サンフランシスコ/サンノゼ,生活,初めまして、SFベイ付近に住んでいるトムで初投稿です。宜しく 最近イーストベイ側では日本人の経営している飲食店減ってます。何方かフリモント近辺で日本人経営飲食店をご存知の方がいたらシェア頂けるでしょうか？お願いします。
結婚　離婚証明書,,,,ホノルル,ビザ,10年以上前、当時の彼女と、ニューヨークの市役所で、簡易結婚式をしました。そのあと、彼女は、会社からグリーンカードをサポートしてもらい、私も同時にグリーンカードを取得しました。しかし、離婚しました。離婚手続きは、彼女にしてもらいました。慰謝料とか全くありません。 質問です、。今度、私が、市民権を申請します。しかし、結婚した日と、離婚した日がわかりません。 どのようにしたら、調べられるのでしょうか？。当時の彼女に連絡を取るのは、失礼なので、もし、アドバイスがあれば教えてください。
お店情報！,,,,ロサンゼルス,観光・レジャー,久しぶりに、ワシトンDCからロスに今回いきます。美味しい日本食屋さん、日本の色々なお店、スーパー等、 色々な見所などを教えてください。
アメリカの食材を代用して作る和食（または日本で一般的に...,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,生活,アメリカの食材を代用して作る和食（または日本で一般的に食されている料理）のレシピを知りたい！
英語の上達には現地の方との恋愛が1番の近道とよく聞きま...,,,,ニューヨーク,恋愛,英語の上達には現地の方との恋愛が1番の近道とよく聞きますが、そうゆう方いらっしゃいましたらご経験を伺いたいです！
性風潮・女性の文化・女性活動家・ライトトークのできる場を探しています！,,,,サンフランシスコ/サンノゼ,留学,"初めまして！
私は、大学生でカリフォルニアのサンノゼに留学しています。
私は、
・アメリカの性に関する風潮の調査
・アメリカの女性活動
・アメリカの女性の問題、もしくは優れている点(自立した女性が多いとか、逆にセクハラが多いとか)
を調べたいと思っています。

サンノゼ付近、もしくは車で片道1時間以内の場所に、これらを調べるためのオススメのスポットはありますか？

女性活動化のセミナーやイベント
資料館
などや、調査を含めて気軽に話すことのできる場などを探しています。
もしよければ、教えていただけると嬉しいです！"
【至急】フェニックスにある日本語学校を探しています！,,,,フェニックス,仕事,至急、フェニックスにある日本語学校を探しています！ Listen & LearnとLe tutor以外で情報をお持ちの方は、ご連絡頂ければ幸いです。 宜しくお願い致します。
ラーメンの原材料を調達する業者さんをご紹介ください。,,,,サンフランシスコ/サンノゼ,仕事,サンノゼにラーメン屋をオーペンしたいので、ラーメンの原材料を調達する業者さんをご紹介ください。
